circID	name
hsa_circ_0000288	hsa_circ_000112
hsa_circ_0000289	hsa_circ_002073
hsa_circ_0000290	hsa_circ_001223
hsa_circ_0000291	hsa_circ_000792
hsa_circ_0000292	hsa_circ_000113
hsa_circ_0000293	hsa_circ_001023
hsa_circ_0000294	hsa_circ_000535
hsa_circ_0000295	hsa_circ_000536
hsa_circ_0000296	hsa_circ_001458
hsa_circ_0000297	hsa_circ_001668
hsa_circ_0000298	hsa_circ_001669
hsa_circ_0000299	hsa_circ_000114
hsa_circ_0000300	hsa_circ_001354
hsa_circ_0000301	hsa_circ_001459
hsa_circ_0000302	hsa_circ_001554
hsa_circ_0000303	hsa_circ_001224
hsa_circ_0000304	hsa_circ_000795
hsa_circ_0000305	hsa_circ_001225
hsa_circ_0000306	hsa_circ_000540
hsa_circ_0000307	hsa_circ_001556
hsa_circ_0000308	hsa_circ_001670
hsa_circ_0000309	hsa_circ_001993
hsa_circ_0000310	hsa_circ_000116
hsa_circ_0000311	hsa_circ_001814
hsa_circ_0000312	hsa_circ_001355
hsa_circ_0000313	hsa_circ_001902
hsa_circ_0000314	hsa_circ_000797
hsa_circ_0000315	hsa_circ_000118
hsa_circ_0000316	hsa_circ_001623
hsa_circ_0000317	hsa_circ_001463
hsa_circ_0000318	hsa_circ_001356
hsa_circ_0000319	hsa_circ_001028
hsa_circ_0000320	hsa_circ_000542
hsa_circ_0000321	hsa_circ_000798
hsa_circ_0000322	hsa_circ_001671
hsa_circ_0000323	hsa_circ_000120
hsa_circ_0000324	hsa_circ_001226
hsa_circ_0000325	hsa_circ_000799
hsa_circ_0000326	hsa_circ_000543
hsa_circ_0000327	hsa_circ_001464
hsa_circ_0000328	hsa_circ_001842
hsa_circ_0000329	hsa_circ_001358
hsa_circ_0000330	hsa_circ_000125
hsa_circ_0000331	hsa_circ_001465
hsa_circ_0000332	hsa_circ_002117
hsa_circ_0000333	hsa_circ_001030
hsa_circ_0000334	hsa_circ_001031
hsa_circ_0000335	hsa_circ_000126
hsa_circ_0000336	hsa_circ_001721
hsa_circ_0000337	hsa_circ_001722
hsa_circ_0000338	hsa_circ_001748
hsa_circ_0000339	hsa_circ_002025
hsa_circ_0000340	hsa_circ_002026
hsa_circ_0000341	hsa_circ_000128
hsa_circ_0000342	hsa_circ_000546
hsa_circ_0000343	hsa_circ_001843
hsa_circ_0000344	hsa_circ_001815
hsa_circ_0000345	hsa_circ_001227
hsa_circ_0000346	hsa_circ_001624
hsa_circ_0000347	hsa_circ_001032
hsa_circ_0000348	hsa_circ_000548
hsa_circ_0000349	hsa_circ_000805
hsa_circ_0000350	hsa_circ_001723
hsa_circ_0000351	hsa_circ_001034
hsa_circ_0000352	hsa_circ_001014
hsa_circ_0000353	hsa_circ_001720
hsa_circ_0000354	hsa_circ_001619
hsa_circ_0000355	hsa_circ_000787
hsa_circ_0000356	hsa_circ_001219
hsa_circ_0000357	hsa_circ_001015
hsa_circ_0000358	hsa_circ_001981
hsa_circ_0000359	hsa_circ_000130
hsa_circ_0000360	hsa_circ_001017
hsa_circ_0000361	hsa_circ_000131
hsa_circ_0000362	hsa_circ_002007
hsa_circ_0000363	hsa_circ_001455
hsa_circ_0000364	hsa_circ_000788
hsa_circ_0000365	hsa_circ_001221
hsa_circ_0000366	hsa_circ_001018
hsa_circ_0000367	hsa_circ_002083
hsa_circ_0000368	hsa_circ_001840
hsa_circ_0000369	hsa_circ_001962
hsa_circ_0000370	hsa_circ_001553
hsa_circ_0000371	hsa_circ_001019
hsa_circ_0000372	hsa_circ_001872
hsa_circ_0000373	hsa_circ_000133
hsa_circ_0000374	hsa_circ_000562
hsa_circ_0000375	hsa_circ_000134
hsa_circ_0000376	hsa_circ_000554
hsa_circ_0000377	hsa_circ_002153
hsa_circ_0000378	hsa_circ_000007
hsa_circ_0000379	hsa_circ_001040
hsa_circ_0000380	hsa_circ_001041
hsa_circ_0000381	hsa_circ_000814
hsa_circ_0000382	hsa_circ_000815
hsa_circ_0000383	hsa_circ_000816
hsa_circ_0000384	hsa_circ_001042
hsa_circ_0000385	hsa_circ_001043
hsa_circ_0000386	hsa_circ_002027
